date,cases,deaths
2020-02-29,1,
2020-03-03,1,
2020-03-04,4,
2020-03-05,7,
2020-03-06,5,
2020-03-07,1,
2020-03-08,2,
2020-03-09,3,
2020-03-10,10,
2020-03-11,9,1
2020-03-12,27,
2020-03-13,20,
2020-03-14,39,1
2020-03-15,40,
2020-03-16,54,
2020-03-17,69,
2020-03-18,74,
2020-03-19,191,1
2020-03-20,126,
2020-03-21,102,
2020-03-22,121,1
2020-03-23,219,2
2020-03-24,204,1
2020-03-25,235,2
2020-03-26,255,10
2020-03-27,302,3
2020-03-28,294,14
2020-03-29,200,10
2020-03-30,295,8
2020-03-31,325,17
2020-04-01,212,14
2020-04-02,402,13
2020-04-03,424,22
2020-04-04,331,17
2020-04-05,390,21
